nohup: ignoring input

 ┌───────────────────────────────────────────────────┐ 
 │                   Fiber v2.52.5                   │ 
 │               http://127.0.0.1:4000               │ 
 │       (bound on host 0.0.0.0 and port 4000)       │ 
 │                                                   │ 
 │ Handlers ............ 97  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 69615 │ 
 └───────────────────────────────────────────────────┘ 

16:54:36 | 200 |   15.948909ms | 192.168.37.146 | GET | /auth/login | -
16:54:36 | 302 |     118.335µs | 192.168.37.146 | GET | /auth/node_modules/font-awesome/css/font-awesome.min.css | -
16:54:36 | 200 |   17.369153ms | 192.168.37.146 | GET | /auth/login | -
16:56:53 | 200 |   15.675064ms | 192.168.37.146 | GET | /auth/login | -
16:56:54 | 302 |     125.162µs | 192.168.37.146 | GET | /auth/node_modules/font-awesome/css/font-awesome.min.css | -
16:56:54 | 302 |     123.469µs | 192.168.37.146 | GET | /auth/path/to/cupcake.png | -
16:56:54 | 200 |   14.779835ms | 192.168.37.146 | GET | /auth/login | -
16:56:54 | 200 |   16.546618ms | 192.168.37.146 | GET | /auth/login | -
16:57:06 | 302 |     180.096µs | 192.168.37.146 | GET | /auth/path/to/cupcake.png | -
16:57:06 | 200 |     13.9718ms | 192.168.37.146 | GET | /auth/login | -
16:57:17 | 200 |   13.689771ms | 192.168.37.146 | GET | /auth/login | -
16:57:18 | 302 |     104.755µs | 192.168.37.146 | GET | /auth/node_modules/font-awesome/css/font-awesome.min.css | -
16:57:18 | 302 |      96.005µs | 192.168.37.146 | GET | /auth/path/to/cupcake.png | -
16:57:18 | 200 |   13.322901ms | 192.168.37.146 | GET | /auth/login | -
16:57:18 | 200 |   21.253466ms | 192.168.37.146 | GET | /auth/login | -
16:58:04 | 200 |    16.68015ms | 192.168.37.146 | GET | /auth/login | -
16:58:04 | 302 |     123.269µs | 192.168.37.146 | GET | /auth/node_modules/font-awesome/css/font-awesome.min.css | -
16:58:04 | 200 |   14.057907ms | 192.168.37.146 | GET | /auth/login | -
16:58:34 | 200 |   28.304246ms | 192.168.37.146 | GET | /auth/login | -
16:58:35 | 302 |      155.96µs | 192.168.37.146 | GET | /auth/node_modules/font-awesome/css/font-awesome.min.css | -
16:58:35 | 200 |   13.464167ms | 192.168.37.146 | GET | /auth/login | -
16:59:17 | 200 |    14.55267ms | 192.168.37.146 | GET | /auth/login | -
16:59:17 | 302 |     102.842µs | 192.168.37.146 | GET | /auth/node_modules/font-awesome/css/font-awesome.min.css | -
16:59:17 | 200 |   13.863615ms | 192.168.37.146 | GET | /auth/login | -
17:00:06 | 200 |   25.403925ms | 192.168.37.146 | GET | /auth/login | -
17:00:07 | 302 |     116.868µs | 192.168.37.146 | GET | /auth/node_modules/font-awesome/css/font-awesome.min.css | -
17:00:07 | 200 |   13.838909ms | 192.168.37.146 | GET | /auth/login | -
17:00:27 | 200 |   14.388955ms | 192.168.37.146 | GET | /auth/login | -
17:01:14 | 200 |    15.27445ms | 192.168.37.146 | GET | /auth/register | -
17:01:32 | 200 |   31.473009ms | 192.168.37.146 | GET | /store | -
17:02:08 | 200 |   16.645039ms | 192.168.37.146 | GET | /store | -
17:02:09 | 200 |   15.831897ms | 192.168.37.146 | GET | /store | -
17:02:10 | 200 |   19.768217ms | 192.168.37.146 | GET | /store | -
17:02:11 | 200 |   16.026845ms | 192.168.37.146 | GET | /store | -
17:02:12 | 200 |   15.398929ms | 192.168.37.146 | GET | /store | -
17:02:13 | 200 |   26.235211ms | 192.168.37.146 | GET | /store | -
17:08:31 | 200 |   20.604253ms | 192.168.37.146 | GET | /auth/login | -
17:18:03 | 200 |   24.296105ms | 192.168.37.146 | GET | /auth/login | -
17:18:03 | 200 |     623.499µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:18:39 | 200 |   14.892942ms | 192.168.37.146 | GET | /auth/login | -
17:18:39 | 304 |     137.398µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:19:11 | 200 |   16.246645ms | 192.168.37.146 | GET | /auth/login | -
17:19:11 | 304 |     110.224µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:19:11 | 200 |   25.374432ms | 192.168.37.146 | GET | /auth/login | -
17:19:25 | 200 |   14.756904ms | 192.168.37.146 | GET | /auth/login | -
17:19:26 | 304 |     117.912µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:19:45 | 200 |   15.221919ms | 192.168.37.146 | GET | /auth/login | -
17:19:46 | 304 |     112.272µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:19:47 | 200 |   13.894278ms | 192.168.37.146 | GET | /auth/login | -
17:20:01 | 200 |   26.667266ms | 192.168.37.146 | GET | /auth/login | -
17:20:02 | 304 |     125.769µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:20:25 | 200 |   13.667323ms | 192.168.37.146 | GET | /auth/login | -
17:20:26 | 304 |     111.422µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:20:51 | 200 |    16.45836ms | 192.168.37.146 | GET | /auth/login | -
17:20:52 | 304 |     144.622µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:21:15 | 200 |   15.152872ms | 192.168.37.146 | GET | /auth/login | -
17:21:15 | 304 |     157.446µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:21:17 | 200 |   16.418794ms | 192.168.37.146 | GET | /auth/login | -
17:21:35 | 200 |   17.141954ms | 192.168.37.146 | GET | /auth/login | -
17:24:50 | 304 |     355.153µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:25:05 | 200 |   17.511769ms | 192.168.37.146 | GET | /auth/login | -
17:25:09 | 200 |   14.106195ms | 192.168.37.146 | GET | /auth/login | -
17:26:00 | 200 |   14.655817ms | 192.168.37.146 | GET | /auth/login | -
17:26:00 | 304 |     120.935µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:26:02 | 200 |   14.742471ms | 192.168.37.146 | GET | /auth/login | -
17:29:55 | 200 |   22.439945ms | 192.168.37.146 | GET | /auth/login | -
17:29:56 | 304 |     244.555µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:29:59 | 200 |    27.34562ms | 192.168.37.146 | GET | /auth/login | -
17:41:35 | 200 |   25.223644ms | 192.168.37.146 | GET | /auth/login | -
17:41:35 | 304 |     144.335µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
17:42:04 | 200 |   15.049125ms | 192.168.37.146 | GET | /auth/login | -
17:42:05 | 200 |    17.32143ms | 192.168.37.146 | GET | /auth/login | -
17:55:20 | 200 |   26.326752ms | 192.168.37.146 | GET | /auth/login | -
17:55:20 | 304 |     162.226µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
18:41:52 | 200 |   25.568818ms | 192.168.37.146 | GET | /auth/login | -
18:41:53 | 304 |     179.274µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
18:42:57 | 200 |   17.824012ms | 192.168.37.146 | GET | /auth/login | -
18:57:51 | 200 |    22.15143ms | 192.168.37.146 | GET | /auth/login | -
18:57:51 | 304 |     207.681µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
18:58:16 | 200 |   15.153528ms | 192.168.37.146 | GET | /auth/login | -
18:59:54 | 200 |   15.126844ms | 192.168.37.146 | GET | /auth/login | -
18:59:59 | 200 |   16.568401ms | 192.168.37.146 | GET | /auth/login | -
19:00:08 | 200 |   17.613361ms | 192.168.37.146 | GET | /auth/login | -
19:00:10 | 200 |   14.843445ms | 192.168.37.146 | GET | /auth/login | -
19:01:03 | 200 |   19.939699ms | 192.168.37.146 | GET | /auth/login | -
19:03:07 | 200 |   19.266771ms | 192.168.37.146 | GET | /auth/login | -
19:07:56 | 200 |   22.470878ms | 192.168.37.146 | GET | /auth/login | -
19:07:56 | 304 |     147.169µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
19:08:31 | 200 |   14.326043ms | 192.168.37.146 | GET | /auth/login | -
19:10:36 | 200 |    15.50945ms | 192.168.37.146 | GET | /auth/login | -
19:13:09 | 200 |   18.301155ms | 192.168.37.146 | GET | /auth/login | -
19:15:20 | 200 |    15.53875ms | 192.168.37.146 | GET | /auth/login | -
19:15:23 | 200 |   18.461362ms | 192.168.37.146 | GET | /auth/login | -
19:17:08 | 200 |   19.667312ms | 192.168.37.146 | GET | /store | -
19:17:10 | 200 |   18.129491ms | 192.168.37.146 | GET | /auth/login | -
19:17:16 | 200 |   15.607116ms | 192.168.37.146 | GET | /auth/login | -
19:18:55 | 200 |   17.691851ms | 192.168.37.146 | GET | /auth/login | -
19:19:07 | 200 |   18.260582ms | 192.168.37.146 | GET | /auth/login | -
19:19:07 | 200 |     440.695µs | 192.168.37.146 | GET | /dist/img/login-cupcake.png | -
19:19:07 | 200 |   68.918825ms | 192.168.37.146 | GET | /plugins/fontawesome-free/css/all.min.css | -
19:19:07 | 200 |   35.214862ms | 192.168.37.146 | GET | /plugins/icheck-bootstrap/icheck-bootstrap.min.css | -
19:19:07 | 200 |   17.508014ms | 192.168.37.146 | GET | /dist/js/adminlte.min.js | -
19:19:07 | 200 |  140.446441ms | 192.168.37.146 | GET | /plugins/jquery/jquery.min.js | -
